000553;132600;101;H;168.00
000585;111110;101;H;168.00
000412;111120;101;H;168.00
000412;111120;105;H;001.00
000570;131525;101;H;167.00
000570;131525;105;H;005.50
000570;131525;409;H;001.00
000542;131505;101;H;168.00
000542;131505;105;H;023.00
000542;131505;106;H;019.50
000581;132613;101;H;168.00
000581;132613;105;H;011.50
000583;132613;101;H;168.00
000583;132613;105;H;016.50
000583;132613;106;H;007.00
000018;112200;101;H;168.00
000580;132600;101;H;165.00
000580;132600;409;H;003.00
000559;111120;101;H;168.00
000566;111115;101;H;167.50
000566;111115;105;H;005.00
000566;111115;409;H;000.50
000489;132601;101;H;131.00
000489;132601;105;H;001.00
000489;132601;409;H;037.00
000578;111110;101;H;168.00
000576;132641;101;H;168.00
000574;132673;101;H;168.00
000574;132673;105;H;014.50
000582;132643;101;H;160.00
000582;132643;105;H;008.00
000582;132643;409;D;001.00
000266;121305;101;H;168.00
000448;111120;101;H;141.00
000448;111120;409;D;003.00
000448;111120;409;H;003.00
000485;112205;101;H;168.00
000419;132641;101;H;166.50
000419;132641;105;H;014.00
000419;132641;409;H;001.50
000555;111125;101;H;168.00
000587;131530;101;H;168.00
000587;131530;105;H;003.00
000589;111125;101;H;104.00
000588;132653;101;H;168.00
000443;132641;101;H;140.00
000443;132641;409;D;003.00
000443;132641;409;H;004.00
