000553;132600;101;H;032.00
000585;111110;101;H;160.00
000412;111120;101;H;160.00
000412;111120;105;H;004.00
000570;131525;101;H;154.50
000570;131525;105;H;001.50
000570;131525;409;H;005.50
000542;131505;101;H;160.00
000581;132613;101;H;160.00
000581;132613;105;H;004.00
000583;132613;101;H;152.00
000018;112200;101;H;160.00
000580;132600;101;H;127.00
000580;132600;409;H;009.00
000559;111120;101;H;136.00
000566;111115;101;H;072.00
000566;111115;105;H;001.00
000566;111115;409;H;008.00
000489;132601;101;H;165.00
000489;132601;105;H;004.00
000578;111110;101;H;160.00
000576;132641;101;H;160.00
000574;132673;101;H;152.00
000574;132673;409;D;002.00
000582;132643;101;H;160.00
000266;121305;101;H;160.00
000448;111120;101;H;119.00
000448;111120;409;D;005.00
000448;111120;409;H;001.00
000485;112205;101;H;160.00
000485;112205;105;H;004.50
000590;132623;101;H;056.00
000419;132641;101;H;160.00
000419;132641;105;H;008.00
000555;111125;101;H;160.00
000587;131530;101;H;160.00
000587;131530;105;H;001.50
000589;111125;101;H;160.00
000588;132653;101;H;155.00
000443;132641;101;H;128.00
000443;132641;409;D;003.00
